No.,Time,Source,Destination,Protocol,Length,Info,Type
1,0,::,ff02::1:ff00:16,ICMPv6,90,Neighbor Solicitation for fe80::200:ff:fe00:16 from 00:00:00:00:00:16,DDOS-attack
2,0.000163,::,ff02::1:ff00:16,ICMPv6,90,Neighbor Solicitation for 2001:2::200:ff:fe00:16 from 00:00:00:00:00:16,DDOS-attack
3,0.001,00:00:00_00:00:18,IPv6mcast_ff:00:00:18,0xffff,64,Ethernet II,DDOS-attack
4,0.001,::,ff02::1:ff00:15,ICMPv6,90,Neighbor Solicitation for fe80::200:ff:fe00:15 from 00:00:00:00:00:15,DDOS-attack
5,0.002144,::,ff02::1:ff00:16,ICMPv6,90,Neighbor Solicitation for fe80::200:ff:fe00:16 from 00:00:00:00:00:16,DDOS-attack
6,0.003102,00:00:00_00:00:18,IPv6mcast_ff:00:00:18,0xffff,64,Ethernet II,DDOS-attack
7,0.004387,::,ff02::1:ff00:16,ICMPv6,90,Neighbor Solicitation for 2001:2::200:ff:fe00:16 from 00:00:00:00:00:16,DDOS-attack
8,0.006803,::,ff02::1:ff00:15,ICMPv6,90,Neighbor Solicitation for fe80::200:ff:fe00:15 from 00:00:00:00:00:15,DDOS-attack
9,0.007,00:00:00_00:00:18,IPv6mcast_ff:00:00:18,0xffff,64,Ethernet II,DDOS-attack
10,0.007,00:00:00_00:00:17,IPv6mcast_ff:00:00:17,0xffff,64,Ethernet II,DDOS-attack
11,0.008,::,ff02::1:ff00:15,ICMPv6,90,Neighbor Solicitation for 2001:2::200:ff:fe00:15 from 00:00:00:00:00:15,DDOS-attack
12,0.008,00:00:00_00:00:17,IPv6mcast_ff:00:00:18,0xffff,64,Ethernet II,DDOS-attack
13,0.009102,00:00:00_00:00:17,IPv6mcast_ff:00:00:17,0xffff,64,Ethernet II,DDOS-attack
14,0.010144,::,ff02::1:ff00:15,ICMPv6,90,Neighbor Solicitation for 2001:2::200:ff:fe00:15 from 00:00:00:00:00:15,DDOS-attack
15,0.011536,00:00:00_00:00:18,IPv6mcast_ff:00:00:18,0xffff,64,Ethernet II,DDOS-attack
16,0.012052,00:00:00_00:00:17,IPv6mcast_ff:00:00:17,0xffff,64,Ethernet II,DDOS-attack
17,0.014033,00:00:00_00:00:17,IPv6mcast_ff:00:00:18,0xffff,64,Ethernet II,DDOS-attack
18,0.014033,00:00:00_00:00:18,00:00:00_00:00:17,0xffff,64,Ethernet II,DDOS-attack
19,0.016136,00:00:00_00:00:18,00:00:00_00:00:17,0xffff,64,Ethernet II,DDOS-attack
20,0.016344,00:00:00_00:00:17,00:00:00_00:00:18,0xffff,92,Ethernet II,DDOS-attack
21,0.018325,00:00:00_00:00:17,IPv6mcast_ff:00:00:17,0xffff,64,Ethernet II,DDOS-attack
22,0.020575,00:00:00_00:00:17,00:00:00_00:00:18,0xffff,92,Ethernet II,DDOS-attack
23,0.025575,2001:2::200:ff:fe00:15,ff02::1:ff00:16,ICMPv6,90,Neighbor Solicitation for 2001:2::200:ff:fe00:16 from 00:00:00:00:00:15,DDOS-attack
24,0.027719,2001:2::200:ff:fe00:15,ff02::1:ff00:16,ICMPv6,90,Neighbor Solicitation for 2001:2::200:ff:fe00:16 from 00:00:00:00:00:15,DDOS-attack
25,0.027719,2001:2::200:ff:fe00:16,2001:2::200:ff:fe00:15,ICMPv6,90,"Neighbor Advertisement 2001:2::200:ff:fe00:16 (sol, ovr) is at 00:00:00:00:00:16",DDOS-attack
26,0.029864,2001:2::200:ff:fe00:16,2001:2::200:ff:fe00:15,ICMPv6,90,"Neighbor Advertisement 2001:2::200:ff:fe00:16 (sol, ovr) is at 00:00:00:00:00:16",DDOS-attack
27,0.029864,2001:1::200:ff:fe00:17,2001:2::200:ff:fe00:16,TCP,94,49153  >  9000 [SYN] Seq=0 Win=65535 Len=0 TSval=0 TSecr=0 WS=4 SACK_PERM=1,DDOS-attack
28,0.032015,2001:1::200:ff:fe00:17,2001:2::200:ff:fe00:16,TCP,94,[TCP Out-Of-Order] 49153  >  9000 [SYN] Seq=0 Win=65535 Len=0 TSval=0 TSecr=0 WS=4 SACK_PERM=1,DDOS-attack
29,0.032015,fe80::200:ff:fe00:16,ff02::1:ff00:15,ICMPv6,90,Neighbor Solicitation for fe80::200:ff:fe00:15 from 00:00:00:00:00:16,DDOS-attack
30,0.034159,fe80::200:ff:fe00:16,ff02::1:ff00:15,ICMPv6,90,Neighbor Solicitation for fe80::200:ff:fe00:15 from 00:00:00:00:00:16,DDOS-attack
31,0.034159,fe80::200:ff:fe00:15,fe80::200:ff:fe00:16,ICMPv6,90,"Neighbor Advertisement fe80::200:ff:fe00:15 (rtr, sol, ovr) is at 00:00:00:00:00:15",DDOS-attack
32,0.036304,fe80::200:ff:fe00:15,fe80::200:ff:fe00:16,ICMPv6,90,"Neighbor Advertisement fe80::200:ff:fe00:15 (rtr, sol, ovr) is at 00:00:00:00:00:15",DDOS-attack
33,0.036304,2001:2::200:ff:fe00:16,2001:1::200:ff:fe00:17,TCP,78,"9000  >  49153 [RST, ACK] Seq=1 Ack=1 Win=65535 Len=0",DDOS-attack
34,0.03843,2001:2::200:ff:fe00:16,2001:1::200:ff:fe00:17,TCP,78,"9000  >  49153 [RST, ACK] Seq=1 Ack=1 Win=65535 Len=0",DDOS-attack
35,0.04543,00:00:00_00:00:18,IPv6mcast_ff:00:00:17,0xffff,78,Ethernet II,DDOS-attack
36,0.047555,00:00:00_00:00:18,IPv6mcast_ff:00:00:17,0xffff,78,Ethernet II,DDOS-attack
37,0.047555,00:00:00_00:00:17,00:00:00_00:00:18,0xffff,88,Ethernet II,DDOS-attack
